OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
1,2015,11010,종로구,34,2139,62.91176471,63,0.283636787,62,63,1,62,63,2,0.080449827,,0
2,2015,11020,중구,15,945,63,63,0,63,63,0,63,63,1,0,,0
3,2015,11030,용산구,32,2016,63,63,0,63,63,0,63,63,1,0,,0
4,2015,11040,성동구,25,1575,63,63,0,63,63,0,63,63,1,0,성동구,1
5,2015,11050,광진구,25,1575,63,63,0,63,63,0,63,63,1,0,광진구,3
6,2015,11060,동대문구,23,1449,63,63,0,63,63,0,63,63,1,0,동대문구,1
7,2015,11070,중랑구,28,1764,63,63,0,63,63,0,63,63,1,0,,0
8,2015,11080,성북구,36,2265,62.91666667,63,0.363241579,61,63,2,61,63,3,0.131944444,성북구,3
9,2015,11090,강북구,30,1856,61.86666667,63,2.276449477,53,63,10,53,63,7,5.182222222,강북구,5
10,2015,11100,도봉구,33,2037,61.72727273,63,2.873839447,51,63,12,51,63,8,8.258953168,도봉구,2
11,2015,11110,노원구,54,3399,62.94444444,63,0.229061424,62,63,1,62,63,2,0.052469136,노원구,1
12,2015,11120,은평구,47,2923,62.19148936,63,1.758121554,55,63,8,55,63,7,3.090991399,은평구,4
13,2015,11130,서대문구,25,1575,63,63,0,63,63,0,63,63,1,0,,0
14,2015,11140,마포구,36,2268,63,63,0,63,63,0,63,63,1,0,,0
15,2015,11150,양천구,26,1638,63,63,0,63,63,0,63,63,1,0,,0
16,2015,11160,강서구,64,4029,62.953125,63,0.211371082,62,63,1,62,63,2,0.044677734,강서구,10
17,2015,11170,구로구,29,1827,63,63,0,63,63,0,63,63,1,0,구로구,10
18,2015,11180,금천구,19,1196,62.94736842,63,0.223296878,62,63,1,62,63,2,0.049861496,금천구,3
19,2015,11190,영등포구,31,1953,63,63,0,63,63,0,63,63,1,0,영등포구,4
20,2015,11200,동작구,22,1386,63,63,0,63,63,0,63,63,1,0,동작구,1
21,2015,11210,관악구,47,2941,62.57446809,63,0.961928047,59,63,4,59,63,5,0.925305568,관악구,2
22,2015,11220,서초구,70,4394,62.77142857,63,0.483186701,61,63,2,61,63,3,0.233469388,,0
23,2015,11230,강남구,57,3591,63,63,0,63,63,0,63,63,1,0,,0
24,2015,11240,송파구,49,3082,62.89795918,63,0.302701979,62,63,1,62,63,2,0.091628488,,0
