date,value,series_id
2024-09-20,-0.42484,NFCI
2024-09-27,-0.43116,NFCI
2024-10-04,-0.43523,NFCI
2024-10-11,-0.43817,NFCI
2024-10-18,-0.44239,NFCI
2024-10-25,-0.44669,NFCI
2024-11-01,-0.45256,NFCI
2024-11-08,-0.46052,NFCI
2024-11-15,-0.46805,NFCI
2024-11-22,-0.47316,NFCI
2024-11-29,-0.47664,NFCI
2024-12-06,-0.47904,NFCI
2024-12-13,-0.48066,NFCI
2024-12-20,-0.48187,NFCI
2024-12-27,-0.48610,NFCI
2025-01-03,-0.49106,NFCI
2025-01-10,-0.49736,NFCI
2025-01-17,-0.50267,NFCI
2025-01-24,-0.50763,NFCI
2025-01-31,-0.51044,NFCI
2025-02-07,-0.50916,NFCI
2025-02-14,-0.50446,NFCI
2025-02-21,-0.49486,NFCI
2025-02-28,-0.48142,NFCI
2025-03-07,-0.46481,NFCI
2025-03-14,-0.44657,NFCI
2025-03-21,-0.42876,NFCI
2025-03-28,-0.41189,NFCI
2025-04-04,-0.39669,NFCI
2025-04-11,-0.38562,NFCI
2025-04-18,-0.38590,NFCI
2025-04-25,-0.39233,NFCI
2025-05-02,-0.40564,NFCI
2025-05-09,-0.42291,NFCI
2025-05-16,-0.44030,NFCI
2025-05-23,-0.45476,NFCI
2025-05-30,-0.46636,NFCI
2025-06-06,-0.47549,NFCI
2025-06-13,-0.48295,NFCI
2025-06-20,-0.48958,NFCI
2025-06-27,-0.49680,NFCI
2025-07-04,-0.50467,NFCI
2025-07-11,-0.51217,NFCI
2025-07-18,-0.51870,NFCI
2025-07-25,-0.52464,NFCI
2025-08-01,-0.52932,NFCI
2025-08-08,-0.53290,NFCI
2025-08-15,-0.53702,NFCI
2025-08-22,-0.53961,NFCI
2025-08-29,-0.54180,NFCI
2025-09-05,-0.54306,NFCI
