date,value,series_id
2024-09-16,5633.09,SP500
2024-09-17,5634.58,SP500
2024-09-18,5618.26,SP500
2024-09-19,5713.64,SP500
2024-09-20,5702.55,SP500
2024-09-23,5718.57,SP500
2024-09-24,5732.93,SP500
2024-09-25,5722.26,SP500
2024-09-26,5745.37,SP500
2024-09-27,5738.17,SP500
2024-09-30,5762.48,SP500
2024-10-01,5708.75,SP500
2024-10-02,5709.54,SP500
2024-10-03,5699.94,SP500
2024-10-04,5751.07,SP500
2024-10-07,5695.94,SP500
2024-10-08,5751.13,SP500
2024-10-09,5792.04,SP500
2024-10-10,5780.05,SP500
2024-10-11,5815.03,SP500
2024-10-14,5859.85,SP500
2024-10-15,5815.26,SP500
2024-10-16,5842.47,SP500
2024-10-17,5841.47,SP500
2024-10-18,5864.67,SP500
2024-10-21,5853.98,SP500
2024-10-22,5851.2,SP500
2024-10-23,5797.42,SP500
2024-10-24,5809.86,SP500
2024-10-25,5808.12,SP500
2024-10-28,5823.52,SP500
2024-10-29,5832.92,SP500
2024-10-30,5813.67,SP500
2024-10-31,5705.45,SP500
2024-11-01,5728.8,SP500
2024-11-04,5712.69,SP500
2024-11-05,5782.76,SP500
2024-11-06,5929.04,SP500
2024-11-07,5973.1,SP500
2024-11-08,5995.54,SP500
2024-11-11,6001.35,SP500
2024-11-12,5983.99,SP500
2024-11-13,5985.38,SP500
2024-11-14,5949.17,SP500
2024-11-15,5870.62,SP500
2024-11-18,5893.62,SP500
2024-11-19,5916.98,SP500
2024-11-20,5917.11,SP500
2024-11-21,5948.71,SP500
2024-11-22,5969.34,SP500
2024-11-25,5987.37,SP500
2024-11-26,6021.63,SP500
2024-11-27,5998.74,SP500
2024-11-28,.,SP500
2024-11-29,6032.38,SP500
2024-12-02,6047.15,SP500
2024-12-03,6049.88,SP500
2024-12-04,6086.49,SP500
2024-12-05,6075.11,SP500
2024-12-06,6090.27,SP500
2024-12-09,6052.85,SP500
2024-12-10,6034.91,SP500
2024-12-11,6084.19,SP500
2024-12-12,6051.25,SP500
2024-12-13,6051.09,SP500
2024-12-16,6074.08,SP500
2024-12-17,6050.61,SP500
2024-12-18,5872.16,SP500
2024-12-19,5867.08,SP500
2024-12-20,5930.85,SP500
2024-12-23,5974.07,SP500
2024-12-24,6040.04,SP500
2024-12-25,.,SP500
2024-12-26,6037.59,SP500
2024-12-27,5970.84,SP500
2024-12-30,5906.94,SP500
2024-12-31,5881.63,SP500
2025-01-01,.,SP500
2025-01-02,5868.55,SP500
