date,value,series_id
2024-09-16,-1.33,T10Y3M
2024-09-17,-1.3,T10Y3M
2024-09-18,-1.14,T10Y3M
2024-09-19,-1.07,T10Y3M
2024-09-20,-1.02,T10Y3M
2024-09-23,-0.97,T10Y3M
2024-09-24,-0.95,T10Y3M
2024-09-25,-0.9,T10Y3M
2024-09-26,-0.89,T10Y3M
2024-09-27,-0.93,T10Y3M
2024-09-30,-0.92,T10Y3M
2024-10-01,-0.97,T10Y3M
2024-10-02,-0.9,T10Y3M
2024-10-03,-0.83,T10Y3M
2024-10-04,-0.75,T10Y3M
2024-10-07,-0.74,T10Y3M
2024-10-08,-0.71,T10Y3M
2024-10-09,-0.69,T10Y3M
2024-10-10,-0.66,T10Y3M
2024-10-11,-0.65,T10Y3M
2024-10-14,.,T10Y3M
2024-10-15,-0.7,T10Y3M
2024-10-16,-0.7,T10Y3M
2024-10-17,-0.65,T10Y3M
2024-10-18,-0.65,T10Y3M
2024-10-21,-0.54,T10Y3M
2024-10-22,-0.52,T10Y3M
2024-10-23,-0.49,T10Y3M
2024-10-24,-0.49,T10Y3M
2024-10-25,-0.48,T10Y3M
2024-10-28,-0.42,T10Y3M
2024-10-29,-0.42,T10Y3M
2024-10-30,-0.38,T10Y3M
2024-10-31,-0.36,T10Y3M
2024-11-01,-0.24,T10Y3M
2024-11-04,-0.34,T10Y3M
2024-11-05,-0.38,T10Y3M
2024-11-06,-0.22,T10Y3M
2024-11-07,-0.32,T10Y3M
2024-11-08,-0.33,T10Y3M
2024-11-11,.,T10Y3M
2024-11-12,-0.2,T10Y3M
2024-11-13,-0.16,T10Y3M
2024-11-14,-0.18,T10Y3M
2024-11-15,-0.17,T10Y3M
2024-11-18,-0.21,T10Y3M
2024-11-19,-0.23,T10Y3M
2024-11-20,-0.21,T10Y3M
2024-11-21,-0.2,T10Y3M
2024-11-22,-0.22,T10Y3M
2024-11-25,-0.35,T10Y3M
2024-11-26,-0.31,T10Y3M
2024-11-27,-0.35,T10Y3M
2024-11-28,.,T10Y3M
2024-11-29,-0.4,T10Y3M
2024-12-02,-0.32,T10Y3M
2024-12-03,-0.26,T10Y3M
2024-12-04,-0.28,T10Y3M
2024-12-05,-0.29,T10Y3M
2024-12-06,-0.27,T10Y3M
2024-12-09,-0.22,T10Y3M
2024-12-10,-0.19,T10Y3M
2024-12-11,-0.12,T10Y3M
2024-12-12,-0.03,T10Y3M
2024-12-13,0.06,T10Y3M
2024-12-16,0.02,T10Y3M
2024-12-17,0.02,T10Y3M
2024-12-18,0.14,T10Y3M
2024-12-19,0.22,T10Y3M
2024-12-20,0.18,T10Y3M
2024-12-23,0.23,T10Y3M
2024-12-24,0.19,T10Y3M
2024-12-25,.,T10Y3M
2024-12-26,0.23,T10Y3M
2024-12-27,0.31,T10Y3M
2024-12-30,0.18,T10Y3M
2024-12-31,0.21,T10Y3M
2025-01-01,.,T10Y3M
2025-01-02,0.21,T10Y3M
2025-01-03,0.26,T10Y3M
2025-01-06,0.27,T10Y3M
2025-01-07,0.32,T10Y3M
2025-01-08,0.32,T10Y3M
2025-01-09,0.33,T10Y3M
2025-01-10,0.41,T10Y3M
2025-01-13,0.42,T10Y3M
2025-01-14,0.42,T10Y3M
2025-01-15,0.31,T10Y3M
2025-01-16,0.27,T10Y3M
2025-01-17,0.27,T10Y3M
2025-01-20,.,T10Y3M
2025-01-21,0.21,T10Y3M
2025-01-22,0.24,T10Y3M
2025-01-23,0.29,T10Y3M
2025-01-24,0.28,T10Y3M
2025-01-27,0.21,T10Y3M
2025-01-28,0.24,T10Y3M
2025-01-29,0.24,T10Y3M
2025-01-30,0.22,T10Y3M
2025-01-31,0.27,T10Y3M
2025-02-03,0.2,T10Y3M
2025-02-04,0.19,T10Y3M
2025-02-05,0.1,T10Y3M
2025-02-06,0.11,T10Y3M
2025-02-07,0.14,T10Y3M
2025-02-10,0.16,T10Y3M
2025-02-11,0.19,T10Y3M
2025-02-12,0.27,T10Y3M
2025-02-13,0.18,T10Y3M
2025-02-14,0.13,T10Y3M
2025-02-17,.,T10Y3M
2025-02-18,0.21,T10Y3M
2025-02-19,0.19,T10Y3M
2025-02-20,0.17,T10Y3M
2025-02-21,0.1,T10Y3M
2025-02-24,0.09,T10Y3M
2025-02-25,0.0,T10Y3M
2025-02-26,-0.06,T10Y3M
2025-02-27,-0.03,T10Y3M
2025-02-28,-0.08,T10Y3M
2025-03-03,-0.19,T10Y3M
2025-03-04,-0.12,T10Y3M
2025-03-05,-0.07,T10Y3M
2025-03-06,-0.05,T10Y3M
2025-03-07,-0.02,T10Y3M
2025-03-10,-0.11,T10Y3M
2025-03-11,-0.06,T10Y3M
2025-03-12,-0.03,T10Y3M
2025-03-13,-0.07,T10Y3M
2025-03-14,-0.02,T10Y3M
2025-03-17,-0.03,T10Y3M
2025-03-18,-0.05,T10Y3M
2025-03-19,-0.08,T10Y3M
2025-03-20,-0.09,T10Y3M
2025-03-21,-0.08,T10Y3M
2025-03-24,0.01,T10Y3M
2025-03-25,-0.02,T10Y3M
2025-03-26,0.02,T10Y3M
2025-03-27,0.05,T10Y3M
2025-03-28,-0.06,T10Y3M
2025-03-31,-0.09,T10Y3M
2025-04-01,-0.15,T10Y3M
2025-04-02,-0.12,T10Y3M
2025-04-03,-0.25,T10Y3M
2025-04-04,-0.27,T10Y3M
2025-04-07,-0.14,T10Y3M
2025-04-08,-0.05,T10Y3M
2025-04-09,-0.01,T10Y3M
2025-04-10,0.06,T10Y3M
2025-04-11,0.14,T10Y3M
2025-04-14,0.05,T10Y3M
2025-04-15,0.02,T10Y3M
2025-04-16,-0.04,T10Y3M
2025-04-17,0.0,T10Y3M
2025-04-18,.,T10Y3M
2025-04-21,0.08,T10Y3M
2025-04-22,0.08,T10Y3M
2025-04-23,0.07,T10Y3M
2025-04-24,0.0,T10Y3M
2025-04-25,-0.03,T10Y3M
2025-04-28,-0.09,T10Y3M
2025-04-29,-0.12,T10Y3M
2025-04-30,-0.14,T10Y3M
2025-05-01,-0.06,T10Y3M
2025-05-02,0.0,T10Y3M
2025-05-05,0.03,T10Y3M
2025-05-06,-0.03,T10Y3M
2025-05-07,-0.08,T10Y3M
2025-05-08,0.03,T10Y3M
2025-05-09,0.03,T10Y3M
2025-05-12,0.03,T10Y3M
2025-05-13,0.08,T10Y3M
2025-05-14,0.12,T10Y3M
2025-05-15,0.07,T10Y3M
2025-05-16,0.06,T10Y3M
2025-05-19,0.07,T10Y3M
2025-05-20,0.1,T10Y3M
2025-05-21,0.22,T10Y3M
2025-05-22,0.17,T10Y3M
2025-05-23,0.15,T10Y3M
2025-05-26,.,T10Y3M
2025-05-27,0.08,T10Y3M
2025-05-28,0.12,T10Y3M
2025-05-29,0.07,T10Y3M
2025-05-30,0.05,T10Y3M
2025-06-02,0.02,T10Y3M
2025-06-03,0.03,T10Y3M
2025-06-04,-0.07,T10Y3M
2025-06-05,-0.04,T10Y3M
2025-06-06,0.08,T10Y3M
2025-06-09,0.05,T10Y3M
2025-06-10,0.02,T10Y3M
2025-06-11,-0.04,T10Y3M
2025-06-12,-0.1,T10Y3M
2025-06-13,-0.04,T10Y3M
2025-06-16,0.03,T10Y3M
2025-06-17,-0.03,T10Y3M
2025-06-18,-0.04,T10Y3M
2025-06-19,.,T10Y3M
2025-06-20,-0.01,T10Y3M
2025-06-23,-0.04,T10Y3M
2025-06-24,-0.08,T10Y3M
2025-06-25,-0.09,T10Y3M
2025-06-26,-0.13,T10Y3M
2025-06-27,-0.1,T10Y3M
2025-06-30,-0.17,T10Y3M
2025-07-01,-0.14,T10Y3M
2025-07-02,-0.11,T10Y3M
2025-07-03,-0.07,T10Y3M
2025-07-04,.,T10Y3M
2025-07-07,-0.02,T10Y3M
2025-07-08,0.0,T10Y3M
2025-07-09,-0.08,T10Y3M
2025-07-10,-0.07,T10Y3M
2025-07-11,0.02,T10Y3M
2025-07-14,0.01,T10Y3M
2025-07-15,0.08,T10Y3M
2025-07-16,0.05,T10Y3M
2025-07-17,0.06,T10Y3M
2025-07-18,0.04,T10Y3M
2025-07-21,-0.03,T10Y3M
2025-07-22,-0.06,T10Y3M
2025-07-23,-0.01,T10Y3M
2025-07-24,0.01,T10Y3M
2025-07-25,-0.02,T10Y3M
