date,value,value
2024-09-01,2781.422,value
2024-09-02,2781.60701,value
2024-09-03,2781.79202,value
2024-09-04,2781.97703,value
2024-09-05,2782.16204,value
2024-09-06,2782.34705,value
2024-09-07,2782.53206,value
2024-09-08,2782.71707,value
2024-09-09,2782.90208,value
2024-09-10,2783.08709,value
2024-09-11,2783.2721,value
2024-09-12,2783.45711,value
2024-09-13,2783.64212,value
2024-09-14,2783.82713,value
2024-09-15,2784.01214,value
2024-09-16,2784.19715,value
2024-09-17,2784.38216,value
2024-09-18,2784.56717,value
2024-09-19,2784.75218,value
2024-09-20,2784.93719,value
2024-09-21,2785.1222,value
2024-09-22,2785.30721,value
2024-09-23,2785.49222,value
2024-09-24,2785.67723,value
2024-09-25,2785.86224,value
2024-09-26,2786.04725,value
2024-09-27,2786.2322599999998,value
2024-09-28,2786.41727,value
2024-09-29,2786.60228,value
2024-09-30,2786.7872899999998,value
2024-10-01,2786.9723,value
2024-10-02,2787.0254967741935,value
2024-10-03,2787.078693548387,value
2024-10-04,2787.1318903225806,value
2024-10-05,2787.185087096774,value
2024-10-06,2787.2382838709677,value
2024-10-07,2787.2914806451613,value
2024-10-08,2787.344677419355,value
2024-10-09,2787.3978741935484,value
2024-10-10,2787.451070967742,value
2024-10-11,2787.5042677419356,value
2024-10-12,2787.557464516129,value
2024-10-13,2787.6106612903227,value
2024-10-14,2787.6638580645163,value
2024-10-15,2787.71705483871,value
2024-10-16,2787.7702516129034,value
2024-10-17,2787.8234483870965,value
2024-10-18,2787.87664516129,value
2024-10-19,2787.9298419354836,value
2024-10-20,2787.983038709677,value
2024-10-21,2788.0362354838708,value
2024-10-22,2788.0894322580643,value
2024-10-23,2788.142629032258,value
2024-10-24,2788.1958258064515,value
2024-10-25,2788.249022580645,value
2024-10-26,2788.3022193548386,value
2024-10-27,2788.355416129032,value
2024-10-28,2788.4086129032257,value
2024-10-29,2788.4618096774193,value
2024-10-30,2788.515006451613,value
2024-10-31,2788.5682032258064,value
2024-11-01,2788.6214,value
2024-11-02,2788.589143333333,value
2024-11-03,2788.5568866666667,value
2024-11-04,2788.52463,value
2024-11-05,2788.4923733333335,value
2024-11-06,2788.4601166666666,value
2024-11-07,2788.42786,value
2024-11-08,2788.3956033333334,value
2024-11-09,2788.3633466666665,value
2024-11-10,2788.33109,value
2024-11-11,2788.2988333333333,value
2024-11-12,2788.2665766666664,value
2024-11-13,2788.23432,value
2024-11-14,2788.202063333333,value
2024-11-15,2788.169806666667,value
2024-11-16,2788.13755,value
2024-11-17,2788.105293333333,value
2024-11-18,2788.0730366666667,value
2024-11-19,2788.04078,value
2024-11-20,2788.0085233333334,value
2024-11-21,2787.9762666666666,value
2024-11-22,2787.9440099999997,value
2024-11-23,2787.9117533333333,value
2024-11-24,2787.8794966666665,value
2024-11-25,2787.84724,value
2024-11-26,2787.814983333333,value
2024-11-27,2787.7827266666663,value
2024-11-28,2787.75047,value
2024-11-29,2787.718213333333,value
2024-11-30,2787.6859566666667,value
2024-12-01,2787.6537,value
2024-12-02,2787.4140129032257,value
2024-12-03,2787.1743258064516,value
2024-12-04,2786.934638709677,value
2024-12-05,2786.694951612903,value
2024-12-06,2786.455264516129,value
2024-12-07,2786.2155774193548,value
2024-12-08,2785.9758903225807,value
2024-12-09,2785.736203225806,value
2024-12-10,2785.496516129032,value
2024-12-11,2785.256829032258,value
2024-12-12,2785.017141935484,value
2024-12-13,2784.7774548387097,value
2024-12-14,2784.537767741935,value
2024-12-15,2784.298080645161,value
2024-12-16,2784.058393548387,value
2024-12-17,2783.818706451613,value
2024-12-18,2783.5790193548387,value
2024-12-19,2783.3393322580646,value
2024-12-20,2783.09964516129,value
2024-12-21,2782.859958064516,value
2024-12-22,2782.620270967742,value
2024-12-23,2782.3805838709677,value
2024-12-24,2782.1408967741936,value
2024-12-25,2781.901209677419,value
2024-12-26,2781.661522580645,value
2024-12-27,2781.421835483871,value
2024-12-28,2781.1821483870967,value
2024-12-29,2780.9424612903226,value
2024-12-30,2780.702774193548,value
2024-12-31,2780.463087096774,value
2025-01-01,2780.2234,value
2025-01-02,2780.350358064516,value
2025-01-03,2780.4773161290323,value
2025-01-04,2780.6042741935485,value
2025-01-05,2780.731232258064,value
2025-01-06,2780.8581903225804,value
2025-01-07,2780.9851483870966,value
2025-01-08,2781.112106451613,value
2025-01-09,2781.239064516129,value
2025-01-10,2781.366022580645,value
2025-01-11,2781.492980645161,value
2025-01-12,2781.619938709677,value
2025-01-13,2781.7468967741934,value
2025-01-14,2781.8738548387096,value
2025-01-15,2782.000812903226,value
2025-01-16,2782.127770967742,value
2025-01-17,2782.2547290322577,value
2025-01-18,2782.381687096774,value
2025-01-19,2782.50864516129,value
2025-01-20,2782.6356032258063,value
2025-01-21,2782.7625612903225,value
2025-01-22,2782.8895193548387,value
2025-01-23,2783.0164774193545,value
2025-01-24,2783.1434354838707,value
2025-01-25,2783.270393548387,value
2025-01-26,2783.397351612903,value
2025-01-27,2783.5243096774193,value
2025-01-28,2783.6512677419355,value
2025-01-29,2783.7782258064512,value
2025-01-30,2783.9051838709674,value
2025-01-31,2784.0321419354837,value
2025-02-01,2784.1591,value
2025-02-02,2784.3715785714285,value
2025-02-03,2784.584057142857,value
2025-02-04,2784.7965357142857,value
2025-02-05,2785.0090142857143,value
2025-02-06,2785.2214928571425,value
2025-02-07,2785.433971428571,value
2025-02-08,2785.6464499999997,value
2025-02-09,2785.8589285714284,value
2025-02-10,2786.071407142857,value
2025-02-11,2786.2838857142856,value
2025-02-12,2786.496364285714,value
2025-02-13,2786.708842857143,value
2025-02-14,2786.9213214285714,value
2025-02-15,2787.1337999999996,value
2025-02-16,2787.3462785714282,value
2025-02-17,2787.558757142857,value
2025-02-18,2787.7712357142855,value
2025-02-19,2787.983714285714,value
2025-02-20,2788.1961928571427,value
2025-02-21,2788.4086714285713,value
2025-02-22,2788.62115,value
2025-02-23,2788.8336285714286,value
2025-02-24,2789.046107142857,value
2025-02-25,2789.2585857142853,value
2025-02-26,2789.471064285714,value
2025-02-27,2789.6835428571426,value
2025-02-28,2789.896021428571,value
2025-03-01,2790.1085,value
2025-03-02,2790.8492677419354,value
2025-03-03,2791.590035483871,value
2025-03-04,2792.3308032258064,value
2025-03-05,2793.0715709677415,value
2025-03-06,2793.812338709677,value
2025-03-07,2794.5531064516126,value
2025-03-08,2795.293874193548,value
2025-03-09,2796.0346419354837,value
2025-03-10,2796.7754096774192,value
2025-03-11,2797.516177419355,value
2025-03-12,2798.2569451612903,value
2025-03-13,2798.9977129032254,value
2025-03-14,2799.738480645161,value
2025-03-15,2800.4792483870965,value
2025-03-16,2801.220016129032,value
2025-03-17,2801.9607838709676,value
2025-03-18,2802.701551612903,value
2025-03-19,2803.4423193548387,value
2025-03-20,2804.183087096774,value
2025-03-21,2804.9238548387093,value
2025-03-22,2805.664622580645,value
2025-03-23,2806.4053903225804,value
2025-03-24,2807.146158064516,value
2025-03-25,2807.8869258064515,value
2025-03-26,2808.627693548387,value
2025-03-27,2809.3684612903226,value
2025-03-28,2810.109229032258,value
2025-03-29,2810.849996774193,value
2025-03-30,2811.5907645161287,value
2025-03-31,2812.3315322580643,value
2025-04-01,2813.0723,value
2025-04-02,2813.276553333333,value
2025-04-03,2813.4808066666665,value
2025-04-04,2813.68506,value
2025-04-05,2813.889313333333,value
2025-04-06,2814.0935666666664,value
2025-04-07,2814.29782,value
2025-04-08,2814.502073333333,value
2025-04-09,2814.7063266666664,value
2025-04-10,2814.9105799999998,value
2025-04-11,2815.114833333333,value
2025-04-12,2815.3190866666664,value
2025-04-13,2815.5233399999997,value
2025-04-14,2815.727593333333,value
2025-04-15,2815.9318466666664,value
2025-04-16,2816.1360999999997,value
2025-04-17,2816.3403533333335,value
