date,value,value
2024-07-01,29374.914,value
2024-07-02,29378.70693478261,value
2024-07-03,29382.499869565218,value
2024-07-04,29386.292804347828,value
2024-07-05,29390.085739130434,value
2024-07-06,29393.878673913045,value
2024-07-07,29397.67160869565,value
2024-07-08,29401.46454347826,value
2024-07-09,29405.25747826087,value
2024-07-10,29409.05041304348,value
2024-07-11,29412.84334782609,value
2024-07-12,29416.636282608695,value
2024-07-13,29420.429217391305,value
2024-07-14,29424.222152173912,value
2024-07-15,29428.015086956522,value
2024-07-16,29431.808021739133,value
2024-07-17,29435.60095652174,value
2024-07-18,29439.39389130435,value
2024-07-19,29443.186826086956,value
2024-07-20,29446.979760869566,value
2024-07-21,29450.772695652176,value
2024-07-22,29454.565630434783,value
2024-07-23,29458.358565217393,value
2024-07-24,29462.1515,value
2024-07-25,29465.94443478261,value
2024-07-26,29469.737369565217,value
2024-07-27,29473.530304347827,value
2024-07-28,29477.323239130437,value
2024-07-29,29481.116173913044,value
2024-07-30,29484.909108695654,value
2024-07-31,29488.70204347826,value
2024-08-01,29492.49497826087,value
2024-08-02,29496.287913043478,value
2024-08-03,29500.080847826088,value
2024-08-04,29503.873782608698,value
2024-08-05,29507.666717391305,value
2024-08-06,29511.459652173915,value
2024-08-07,29515.25258695652,value
2024-08-08,29519.04552173913,value
2024-08-09,29522.83845652174,value
2024-08-10,29526.63139130435,value
2024-08-11,29530.42432608696,value
2024-08-12,29534.217260869566,value
2024-08-13,29538.010195652176,value
2024-08-14,29541.803130434782,value
2024-08-15,29545.596065217393,value
2024-08-16,29549.389000000003,value
2024-08-17,29553.18193478261,value
2024-08-18,29556.97486956522,value
2024-08-19,29560.767804347826,value
2024-08-20,29564.560739130437,value
2024-08-21,29568.353673913043,value
2024-08-22,29572.146608695653,value
2024-08-23,29575.939543478264,value
2024-08-24,29579.73247826087,value
2024-08-25,29583.52541304348,value
2024-08-26,29587.318347826087,value
2024-08-27,29591.111282608697,value
2024-08-28,29594.904217391304,value
2024-08-29,29598.697152173914,value
2024-08-30,29602.490086956524,value
2024-08-31,29606.28302173913,value
2024-09-01,29610.07595652174,value
2024-09-02,29613.868891304348,value
