date,value,value
2024-09-01,102.5954,value
2024-09-02,102.58268,value
2024-09-03,102.56996,value
2024-09-04,102.55724,value
2024-09-05,102.54452,value
2024-09-06,102.5318,value
2024-09-07,102.51908,value
2024-09-08,102.50636,value
2024-09-09,102.49364,value
2024-09-10,102.48092,value
2024-09-11,102.4682,value
2024-09-12,102.45548,value
2024-09-13,102.44276,value
2024-09-14,102.43004,value
2024-09-15,102.41732,value
2024-09-16,102.4046,value
2024-09-17,102.39188,value
2024-09-18,102.37916,value
2024-09-19,102.36644,value
2024-09-20,102.35372000000001,value
2024-09-21,102.34100000000001,value
2024-09-22,102.32828,value
2024-09-23,102.31556,value
2024-09-24,102.30284,value
2024-09-25,102.29012,value
2024-09-26,102.2774,value
2024-09-27,102.26468,value
2024-09-28,102.25196000000001,value
2024-09-29,102.23924000000001,value
2024-09-30,102.22652000000001,value
2024-10-01,102.2138,value
2024-10-02,102.20530000000001,value
2024-10-03,102.19680000000001,value
2024-10-04,102.18830000000001,value
2024-10-05,102.1798,value
2024-10-06,102.1713,value
2024-10-07,102.1628,value
2024-10-08,102.1543,value
2024-10-09,102.14580000000001,value
2024-10-10,102.13730000000001,value
2024-10-11,102.1288,value
2024-10-12,102.1203,value
2024-10-13,102.1118,value
2024-10-14,102.1033,value
2024-10-15,102.0948,value
2024-10-16,102.08630000000001,value
2024-10-17,102.0778,value
2024-10-18,102.0693,value
2024-10-19,102.0608,value
2024-10-20,102.0523,value
2024-10-21,102.0438,value
2024-10-22,102.0353,value
2024-10-23,102.0268,value
2024-10-24,102.0183,value
2024-10-25,102.0098,value
2024-10-26,102.0013,value
2024-10-27,101.9928,value
2024-10-28,101.9843,value
2024-10-29,101.97579999999999,value
2024-10-30,101.9673,value
2024-10-31,101.9588,value
2024-11-01,101.9503,value
2024-11-02,101.98678,value
2024-11-03,102.02326,value
2024-11-04,102.05974,value
2024-11-05,102.09622,value
2024-11-06,102.1327,value
2024-11-07,102.16918,value
2024-11-08,102.20566,value
2024-11-09,102.24214,value
2024-11-10,102.27862,value
2024-11-11,102.3151,value
2024-11-12,102.35158,value
2024-11-13,102.38806,value
2024-11-14,102.42454000000001,value
2024-11-15,102.46102,value
2024-11-16,102.4975,value
2024-11-17,102.53398,value
2024-11-18,102.57046,value
2024-11-19,102.60694000000001,value
2024-11-20,102.64342,value
2024-11-21,102.6799,value
2024-11-22,102.71638,value
2024-11-23,102.75286,value
2024-11-24,102.78934000000001,value
2024-11-25,102.82582000000001,value
2024-11-26,102.8623,value
2024-11-27,102.89878,value
2024-11-28,102.93526,value
2024-11-29,102.97174000000001,value
2024-11-30,103.00822000000001,value
2024-12-01,103.0447,value
2024-12-02,103.03940322580645,value
2024-12-03,103.03410645161291,value
2024-12-04,103.02880967741936,value
2024-12-05,103.02351290322581,value
2024-12-06,103.01821612903227,value
2024-12-07,103.01291935483871,value
2024-12-08,103.00762258064516,value
2024-12-09,103.00232580645162,value
2024-12-10,102.99702903225807,value
2024-12-11,102.99173225806452,value
2024-12-12,102.98643548387098,value
2024-12-13,102.98113870967742,value
2024-12-14,102.97584193548387,value
2024-12-15,102.97054516129033,value
2024-12-16,102.96524838709678,value
2024-12-17,102.95995161290323,value
2024-12-18,102.95465483870967,value
2024-12-19,102.94935806451613,value
2024-12-20,102.94406129032258,value
2024-12-21,102.93876451612903,value
2024-12-22,102.93346774193549,value
2024-12-23,102.92817096774193,value
2024-12-24,102.92287419354838,value
2024-12-25,102.91757741935484,value
2024-12-26,102.91228064516129,value
2024-12-27,102.90698387096774,value
2024-12-28,102.9016870967742,value
2024-12-29,102.89639032258064,value
2024-12-30,102.89109354838709,value
2024-12-31,102.88579677419355,value
2025-01-01,102.8805,value
2025-01-02,102.91243548387096,value
2025-01-03,102.94437096774193,value
2025-01-04,102.9763064516129,value
2025-01-05,103.00824193548387,value
2025-01-06,103.04017741935483,value
2025-01-07,103.0721129032258,value
2025-01-08,103.10404838709677,value
2025-01-09,103.13598387096775,value
2025-01-10,103.16791935483872,value
2025-01-11,103.19985483870968,value
2025-01-12,103.23179032258065,value
2025-01-13,103.26372580645162,value
2025-01-14,103.29566129032258,value
2025-01-15,103.32759677419355,value
2025-01-16,103.35953225806452,value
2025-01-17,103.39146774193549,value
2025-01-18,103.42340322580645,value
2025-01-19,103.45533870967742,value
2025-01-20,103.48727419354839,value
2025-01-21,103.51920967741935,value
