date,value,value
2024-09-20,-0.42484,value
2024-09-21,-0.42574285714285715,value
2024-09-22,-0.4266457142857143,value
2024-09-23,-0.42754857142857144,value
2024-09-24,-0.42845142857142854,value
2024-09-25,-0.4293542857142857,value
2024-09-26,-0.43025714285714284,value
2024-09-27,-0.43116,value
2024-09-28,-0.43174142857142855,value
2024-09-29,-0.4323228571428571,value
2024-09-30,-0.4329042857142857,value
2024-10-01,-0.4334857142857143,value
2024-10-02,-0.4340671428571429,value
2024-10-03,-0.43464857142857144,value
2024-10-04,-0.43523,value
2024-10-05,-0.43565,value
2024-10-06,-0.43607,value
2024-10-07,-0.43649,value
2024-10-08,-0.43691,value
2024-10-09,-0.43733,value
2024-10-10,-0.43775000000000003,value
2024-10-11,-0.43817,value
2024-10-12,-0.43877285714285713,value
2024-10-13,-0.4393757142857143,value
2024-10-14,-0.43997857142857144,value
2024-10-15,-0.44058142857142857,value
2024-10-16,-0.4411842857142857,value
2024-10-17,-0.4417871428571429,value
2024-10-18,-0.44239,value
2024-10-19,-0.44300428571428574,value
2024-10-20,-0.4436185714285714,value
2024-10-21,-0.44423285714285715,value
2024-10-22,-0.44484714285714283,value
2024-10-23,-0.44546142857142856,value
2024-10-24,-0.44607571428571424,value
2024-10-25,-0.44669,value
2024-10-26,-0.4475285714285714,value
2024-10-27,-0.44836714285714285,value
2024-10-28,-0.44920571428571426,value
2024-10-29,-0.45004428571428573,value
2024-10-30,-0.45088285714285714,value
2024-10-31,-0.4517214285714286,value
2024-11-01,-0.45256,value
2024-11-02,-0.45369714285714285,value
2024-11-03,-0.45483428571428575,value
2024-11-04,-0.4559714285714286,value
2024-11-05,-0.4571085714285714,value
2024-11-06,-0.45824571428571426,value
2024-11-07,-0.45938285714285715,value
2024-11-08,-0.46052,value
2024-11-09,-0.4615957142857143,value
2024-11-10,-0.46267142857142857,value
2024-11-11,-0.46374714285714286,value
2024-11-12,-0.46482285714285715,value
2024-11-13,-0.46589857142857144,value
2024-11-14,-0.46697428571428573,value
2024-11-15,-0.46805,value
2024-11-16,-0.46878000000000003,value
2024-11-17,-0.46951000000000004,value
2024-11-18,-0.47024000000000005,value
2024-11-19,-0.47097,value
2024-11-20,-0.4717,value
2024-11-21,-0.47243,value
2024-11-22,-0.47316,value
2024-11-23,-0.4736571428571429,value
2024-11-24,-0.47415428571428575,value
2024-11-25,-0.4746514285714286,value
2024-11-26,-0.4751485714285714,value
2024-11-27,-0.4756457142857143,value
2024-11-28,-0.47614285714285715,value
2024-11-29,-0.47664,value
2024-11-30,-0.47698285714285715,value
2024-12-01,-0.4773257142857143,value
2024-12-02,-0.47766857142857144,value
2024-12-03,-0.4780114285714286,value
2024-12-04,-0.47835428571428573,value
2024-12-05,-0.4786971428571429,value
2024-12-06,-0.47904,value
2024-12-07,-0.47927142857142857,value
2024-12-08,-0.4795028571428572,value
2024-12-09,-0.4797342857142857,value
2024-12-10,-0.4799657142857143,value
