date,value,value
2024-09-01,158314.0,value
2024-09-02,158315.46666666667,value
2024-09-03,158316.93333333332,value
2024-09-04,158318.4,value
2024-09-05,158319.86666666667,value
2024-09-06,158321.33333333334,value
2024-09-07,158322.8,value
2024-09-08,158324.26666666666,value
2024-09-09,158325.73333333334,value
2024-09-10,158327.2,value
2024-09-11,158328.66666666666,value
2024-09-12,158330.13333333333,value
2024-09-13,158331.6,value
2024-09-14,158333.06666666668,value
2024-09-15,158334.53333333333,value
2024-09-16,158336.0,value
2024-09-17,158337.46666666667,value
2024-09-18,158338.93333333332,value
2024-09-19,158340.4,value
2024-09-20,158341.86666666667,value
2024-09-21,158343.33333333334,value
2024-09-22,158344.8,value
2024-09-23,158346.26666666666,value
2024-09-24,158347.73333333334,value
2024-09-25,158349.2,value
2024-09-26,158350.66666666666,value
2024-09-27,158352.13333333333,value
2024-09-28,158353.6,value
2024-09-29,158355.06666666668,value
2024-09-30,158356.53333333333,value
2024-10-01,158358.0,value
2024-10-02,158366.4193548387,value
2024-10-03,158374.83870967742,value
2024-10-04,158383.25806451612,value
2024-10-05,158391.67741935485,value
2024-10-06,158400.09677419355,value
2024-10-07,158408.51612903227,value
2024-10-08,158416.93548387097,value
2024-10-09,158425.35483870967,value
2024-10-10,158433.7741935484,value
2024-10-11,158442.1935483871,value
2024-10-12,158450.61290322582,value
2024-10-13,158459.03225806452,value
2024-10-14,158467.4516129032,value
2024-10-15,158475.87096774194,value
2024-10-16,158484.29032258064,value
2024-10-17,158492.70967741936,value
2024-10-18,158501.12903225806,value
2024-10-19,158509.5483870968,value
2024-10-20,158517.96774193548,value
2024-10-21,158526.38709677418,value
2024-10-22,158534.8064516129,value
2024-10-23,158543.2258064516,value
2024-10-24,158551.64516129033,value
2024-10-25,158560.06451612903,value
2024-10-26,158568.48387096773,value
2024-10-27,158576.90322580645,value
2024-10-28,158585.32258064515,value
2024-10-29,158593.74193548388,value
2024-10-30,158602.16129032258,value
2024-10-31,158610.5806451613,value
2024-11-01,158619.0,value
2024-11-02,158629.76666666666,value
2024-11-03,158640.53333333333,value
2024-11-04,158651.3,value
2024-11-05,158662.06666666668,value
2024-11-06,158672.83333333334,value
2024-11-07,158683.6,value
2024-11-08,158694.36666666667,value
2024-11-09,158705.13333333333,value
2024-11-10,158715.9,value
2024-11-11,158726.66666666666,value
2024-11-12,158737.43333333332,value
2024-11-13,158748.2,value
2024-11-14,158758.96666666667,value
2024-11-15,158769.73333333334,value
2024-11-16,158780.5,value
2024-11-17,158791.26666666666,value
2024-11-18,158802.03333333333,value
2024-11-19,158812.8,value
2024-11-20,158823.56666666668,value
2024-11-21,158834.33333333334,value
2024-11-22,158845.1,value
2024-11-23,158855.86666666667,value
2024-11-24,158866.63333333333,value
2024-11-25,158877.4,value
2024-11-26,158888.16666666666,value
2024-11-27,158898.93333333332,value
2024-11-28,158909.7,value
2024-11-29,158920.46666666667,value
2024-11-30,158931.23333333334,value
2024-12-01,158942.0,value
2024-12-02,158945.5806451613,value
2024-12-03,158949.16129032258,value
2024-12-04,158952.74193548388,value
2024-12-05,158956.32258064515,value
2024-12-06,158959.90322580645,value
2024-12-07,158963.48387096773,value
2024-12-08,158967.06451612903,value
2024-12-09,158970.64516129033,value
2024-12-10,158974.2258064516,value
2024-12-11,158977.8064516129,value
2024-12-12,158981.38709677418,value
2024-12-13,158984.96774193548,value
2024-12-14,158988.5483870968,value
2024-12-15,158992.12903225806,value
2024-12-16,158995.70967741936,value
2024-12-17,158999.29032258064,value
2024-12-18,159002.87096774194,value
2024-12-19,159006.4516129032,value
2024-12-20,159010.03225806452,value
2024-12-21,159013.61290322582,value
2024-12-22,159017.1935483871,value
2024-12-23,159020.7741935484,value
2024-12-24,159024.35483870967,value
2024-12-25,159027.93548387097,value
2024-12-26,159031.51612903227,value
2024-12-27,159035.09677419355,value
2024-12-28,159038.67741935485,value
2024-12-29,159042.25806451612,value
2024-12-30,159045.83870967742,value
2024-12-31,159049.4193548387,value
2025-01-01,159053.0,value
2025-01-02,159056.29032258064,value
2025-01-03,159059.5806451613,value
2025-01-04,159062.87096774194,value
2025-01-05,159066.16129032258,value
2025-01-06,159069.4516129032,value
2025-01-07,159072.74193548388,value
2025-01-08,159076.03225806452,value
2025-01-09,159079.32258064515,value
2025-01-10,159082.61290322582,value
2025-01-11,159085.90322580645,value
2025-01-12,159089.1935483871,value
2025-01-13,159092.48387096773,value
2025-01-14,159095.7741935484,value
