date,value,value
2024-09-01,1434.0,value
2024-09-02,1433.8,value
2024-09-03,1433.6,value
2024-09-04,1433.4,value
2024-09-05,1433.2,value
2024-09-06,1433.0,value
2024-09-07,1432.8,value
2024-09-08,1432.6,value
2024-09-09,1432.4,value
2024-09-10,1432.2,value
2024-09-11,1432.0,value
2024-09-12,1431.8,value
2024-09-13,1431.6,value
2024-09-14,1431.4,value
2024-09-15,1431.2,value
2024-09-16,1431.0,value
2024-09-17,1430.8,value
2024-09-18,1430.6,value
2024-09-19,1430.4,value
2024-09-20,1430.2,value
2024-09-21,1430.0,value
2024-09-22,1429.8,value
2024-09-23,1429.6,value
2024-09-24,1429.4,value
2024-09-25,1429.2,value
2024-09-26,1429.0,value
2024-09-27,1428.8,value
2024-09-28,1428.6,value
2024-09-29,1428.4,value
2024-09-30,1428.2,value
2024-10-01,1428.0,value
2024-10-02,1430.5806451612902,value
2024-10-03,1433.1612903225807,value
2024-10-04,1435.741935483871,value
2024-10-05,1438.3225806451612,value
2024-10-06,1440.9032258064517,value
2024-10-07,1443.483870967742,value
2024-10-08,1446.0645161290322,value
2024-10-09,1448.6451612903227,value
2024-10-10,1451.225806451613,value
2024-10-11,1453.8064516129032,value
2024-10-12,1456.3870967741937,value
2024-10-13,1458.967741935484,value
2024-10-14,1461.5483870967741,value
2024-10-15,1464.1290322580644,value
2024-10-16,1466.7096774193549,value
2024-10-17,1469.2903225806451,value
2024-10-18,1471.8709677419354,value
2024-10-19,1474.4516129032259,value
2024-10-20,1477.032258064516,value
2024-10-21,1479.6129032258063,value
2024-10-22,1482.1935483870968,value
2024-10-23,1484.774193548387,value
2024-10-24,1487.3548387096773,value
2024-10-25,1489.9354838709678,value
2024-10-26,1492.516129032258,value
2024-10-27,1495.0967741935483,value
2024-10-28,1497.6774193548388,value
2024-10-29,1500.258064516129,value
2024-10-30,1502.8387096774193,value
2024-10-31,1505.4193548387098,value
2024-11-01,1508.0,value
2024-11-02,1507.0666666666666,value
2024-11-03,1506.1333333333334,value
2024-11-04,1505.2,value
2024-11-05,1504.2666666666667,value
2024-11-06,1503.3333333333333,value
2024-11-07,1502.4,value
2024-11-08,1501.4666666666667,value
2024-11-09,1500.5333333333333,value
2024-11-10,1499.6,value
2024-11-11,1498.6666666666667,value
2024-11-12,1497.7333333333333,value
2024-11-13,1496.8,value
2024-11-14,1495.8666666666666,value
2024-11-15,1494.9333333333334,value
2024-11-16,1494.0,value
2024-11-17,1493.0666666666666,value
2024-11-18,1492.1333333333334,value
2024-11-19,1491.2,value
2024-11-20,1490.2666666666667,value
2024-11-21,1489.3333333333333,value
2024-11-22,1488.4,value
2024-11-23,1487.4666666666667,value
2024-11-24,1486.5333333333333,value
2024-11-25,1485.6,value
2024-11-26,1484.6666666666667,value
2024-11-27,1483.7333333333333,value
2024-11-28,1482.8,value
2024-11-29,1481.8666666666666,value
2024-11-30,1480.9333333333334,value
2024-12-01,1480.0,value
2024-12-02,1479.3548387096773,value
2024-12-03,1478.7096774193549,value
2024-12-04,1478.0645161290322,value
2024-12-05,1477.4193548387098,value
2024-12-06,1476.774193548387,value
2024-12-07,1476.1290322580646,value
2024-12-08,1475.483870967742,value
2024-12-09,1474.8387096774193,value
2024-12-10,1474.1935483870968,value
2024-12-11,1473.5483870967741,value
2024-12-12,1472.9032258064517,value
2024-12-13,1472.258064516129,value
2024-12-14,1471.6129032258063,value
2024-12-15,1470.967741935484,value
