date,value,value
2024-09-01,252.682,value
2024-09-02,252.69529999999997,value
2024-09-03,252.7086,value
2024-09-04,252.72189999999998,value
2024-09-05,252.7352,value
2024-09-06,252.74849999999998,value
2024-09-07,252.7618,value
2024-09-08,252.77509999999998,value
2024-09-09,252.7884,value
2024-09-10,252.80169999999998,value
2024-09-11,252.815,value
2024-09-12,252.82829999999998,value
2024-09-13,252.8416,value
2024-09-14,252.8549,value
2024-09-15,252.8682,value
2024-09-16,252.8815,value
2024-09-17,252.89479999999998,value
2024-09-18,252.9081,value
2024-09-19,252.92139999999998,value
2024-09-20,252.9347,value
2024-09-21,252.94799999999998,value
2024-09-22,252.9613,value
2024-09-23,252.97459999999998,value
2024-09-24,252.9879,value
2024-09-25,253.00119999999998,value
2024-09-26,253.0145,value
2024-09-27,253.02779999999998,value
2024-09-28,253.0411,value
2024-09-29,253.0544,value
2024-09-30,253.0677,value
2024-10-01,253.081,value
2024-10-02,253.08519354838708,value
2024-10-03,253.08938709677417,value
2024-10-04,253.09358064516127,value
2024-10-05,253.0977741935484,value
2024-10-06,253.10196774193548,value
2024-10-07,253.10616129032258,value
2024-10-08,253.11035483870967,value
2024-10-09,253.11454838709676,value
2024-10-10,253.11874193548385,value
2024-10-11,253.12293548387098,value
2024-10-12,253.12712903225807,value
2024-10-13,253.13132258064516,value
2024-10-14,253.13551612903225,value
2024-10-15,253.13970967741935,value
2024-10-16,253.14390322580644,value
2024-10-17,253.14809677419356,value
2024-10-18,253.15229032258065,value
2024-10-19,253.15648387096775,value
2024-10-20,253.16067741935484,value
2024-10-21,253.16487096774193,value
2024-10-22,253.16906451612903,value
2024-10-23,253.17325806451615,value
2024-10-24,253.17745161290324,value
2024-10-25,253.18164516129033,value
2024-10-26,253.18583870967743,value
2024-10-27,253.19003225806452,value
2024-10-28,253.1942258064516,value
2024-10-29,253.19841935483873,value
2024-10-30,253.20261290322583,value
2024-10-31,253.20680645161292,value
2024-11-01,253.211,value
2024-11-02,253.2180666666667,value
