date,value,value
2024-09-01,703079.0,value
2024-09-02,703230.1333333333,value
2024-09-03,703381.2666666667,value
2024-09-04,703532.4,value
2024-09-05,703683.5333333333,value
2024-09-06,703834.6666666666,value
2024-09-07,703985.8,value
2024-09-08,704136.9333333333,value
2024-09-09,704288.0666666667,value
2024-09-10,704439.2,value
2024-09-11,704590.3333333334,value
2024-09-12,704741.4666666667,value
2024-09-13,704892.6,value
2024-09-14,705043.7333333333,value
2024-09-15,705194.8666666667,value
2024-09-16,705346.0,value
2024-09-17,705497.1333333333,value
2024-09-18,705648.2666666667,value
2024-09-19,705799.4,value
2024-09-20,705950.5333333333,value
2024-09-21,706101.6666666666,value
2024-09-22,706252.8,value
2024-09-23,706403.9333333333,value
2024-09-24,706555.0666666667,value
2024-09-25,706706.2,value
2024-09-26,706857.3333333334,value
2024-09-27,707008.4666666667,value
2024-09-28,707159.6,value
2024-09-29,707310.7333333333,value
2024-09-30,707461.8666666667,value
2024-10-01,707613.0,value
2024-10-02,707759.1935483871,value
2024-10-03,707905.3870967742,value
2024-10-04,708051.5806451613,value
2024-10-05,708197.7741935484,value
2024-10-06,708343.9677419355,value
2024-10-07,708490.1612903225,value
2024-10-08,708636.3548387097,value
2024-10-09,708782.5483870967,value
2024-10-10,708928.7419354839,value
2024-10-11,709074.9354838709,value
2024-10-12,709221.1290322581,value
2024-10-13,709367.3225806452,value
2024-10-14,709513.5161290322,value
2024-10-15,709659.7096774194,value
2024-10-16,709805.9032258064,value
2024-10-17,709952.0967741936,value
2024-10-18,710098.2903225806,value
2024-10-19,710244.4838709678,value
2024-10-20,710390.6774193548,value
2024-10-21,710536.8709677419,value
2024-10-22,710683.0645161291,value
2024-10-23,710829.2580645161,value
2024-10-24,710975.4516129033,value
2024-10-25,711121.6451612903,value
2024-10-26,711267.8387096775,value
2024-10-27,711414.0322580645,value
2024-10-28,711560.2258064516,value
2024-10-29,711706.4193548387,value
2024-10-30,711852.6129032258,value
2024-10-31,711998.8064516129,value
2024-11-01,712145.0,value
2024-11-02,712328.9,value
2024-11-03,712512.8,value
2024-11-04,712696.7,value
2024-11-05,712880.6,value
