date,value,value
2024-09-01,333.11890354280797,value
2024-09-02,333.1640499850718,value
2024-09-03,333.2091964273357,value
2024-09-04,333.25434286959955,value
2024-09-05,333.29948931186345,value
2024-09-06,333.3446357541273,value
2024-09-07,333.3897821963912,value
2024-09-08,333.43492863865504,value
2024-09-09,333.4800750809189,value
2024-09-10,333.5252215231828,value
2024-09-11,333.5703679654466,value
2024-09-12,333.6155144077105,value
2024-09-13,333.66066084997436,value
2024-09-14,333.70580729223826,value
2024-09-15,333.7509537345021,value
2024-09-16,333.796100176766,value
2024-09-17,333.84124661902985,value
2024-09-18,333.8863930612937,value
2024-09-19,333.9315395035576,value
2024-09-20,333.97668594582143,value
2024-09-21,334.02183238808533,value
2024-09-22,334.06697883034917,value
2024-09-23,334.11212527261307,value
2024-09-24,334.1572717148769,value
2024-09-25,334.20241815714076,value
2024-09-26,334.24756459940465,value
2024-09-27,334.2927110416685,value
2024-09-28,334.3378574839324,value
2024-09-29,334.38300392619624,value
2024-09-30,334.42815036846014,value
2024-10-01,334.473296810724,value
2024-10-02,334.52300439732073,value
2024-10-03,334.5727119839175,value
2024-10-04,334.6224195705142,value
2024-10-05,334.67212715711094,value
2024-10-06,334.7218347437077,value
2024-10-07,334.77154233030444,value
2024-10-08,334.8212499169012,value
2024-10-09,334.8709575034979,value
2024-10-10,334.92066509009464,value
2024-10-11,334.9703726766914,value
2024-10-12,335.02008026328815,value
2024-10-13,335.0697878498849,value
2024-10-14,335.1194954364816,value
2024-10-15,335.16920302307835,value
2024-10-16,335.2189106096751,value
2024-10-17,335.26861819627186,value
2024-10-18,335.3183257828686,value
2024-10-19,335.36803336946537,value
2024-10-20,335.41774095606206,value
2024-10-21,335.4674485426588,value
2024-10-22,335.51715612925557,value
2024-10-23,335.5668637158523,value
2024-10-24,335.6165713024491,value
2024-10-25,335.66627888904577,value
2024-10-26,335.7159864756425,value
2024-10-27,335.7656940622393,value
2024-10-28,335.81540164883603,value
2024-10-29,335.8651092354328,value
2024-10-30,335.9148168220295,value
2024-10-31,335.96452440862623,value
2024-11-01,336.014231995223,value
2024-11-02,336.07737182225446,value
2024-11-03,336.14051164928594,value
2024-11-04,336.20365147631736,value
2024-11-05,336.26679130334884,value
2024-11-06,336.3299311303803,value
2024-11-07,336.3930709574118,value
2024-11-08,336.4562107844433,value
2024-11-09,336.5193506114747,value
2024-11-10,336.58249043850617,value
2024-11-11,336.64563026553765,value
2024-11-12,336.7087700925691,value
2024-11-13,336.7719099196006,value
2024-11-14,336.835049746632,value
2024-11-15,336.8981895736635,value
2024-11-16,336.961329400695,value
2024-11-17,337.02446922772646,value
2024-11-18,337.08760905475793,value
2024-11-19,337.15074888178935,value
2024-11-20,337.21388870882083,value
2024-11-21,337.2770285358523,value
2024-11-22,337.3401683628838,value
2024-11-23,337.40330818991526,value
2024-11-24,337.4664480169467,value
2024-11-25,337.52958784397816,value
2024-11-26,337.59272767100964,value
2024-11-27,337.6558674980411,value
2024-11-28,337.7190073250726,value
2024-11-29,337.782147152104,value
2024-11-30,337.8452869791355,value
2024-12-01,337.908426806167,value
2024-12-02,337.95839705862414,value
2024-12-03,338.0083673110814,value
2024-12-04,338.05833756353854,value
2024-12-05,338.1083078159958,value
2024-12-06,338.15827806845294,value
2024-12-07,338.2082483209101,value
2024-12-08,338.25821857336734,value
2024-12-09,338.3081888258245,value
2024-12-10,338.3581590782817,value
2024-12-11,338.4081293307389,value
2024-12-12,338.4580995831961,value
2024-12-13,338.5080698356533,value
2024-12-14,338.5580400881105,value
2024-12-15,338.60801034056766,value
2024-12-16,338.6579805930249,value
2024-12-17,338.70795084548206,value
2024-12-18,338.7579210979393,value
2024-12-19,338.80789135039646,value
2024-12-20,338.85786160285363,value
2024-12-21,338.90783185531086,value
2024-12-22,338.95780210776803,value
2024-12-23,339.00777236022526,value
2024-12-24,339.05774261268243,value
2024-12-25,339.1077128651396,value
2024-12-26,339.15768311759683,value
2024-12-27,339.207653370054,value
2024-12-28,339.2576236225112,value
2024-12-29,339.3075938749684,value
2024-12-30,339.3575641274256,value
2024-12-31,339.4075343798828,value
2025-01-01,339.45750463234,value
2025-01-02,339.48482794897893,value
2025-01-03,339.51215126561783,value
2025-01-04,339.5394745822568,value
2025-01-05,339.56679789889574,value
2025-01-06,339.59412121553464,value
2025-01-07,339.6214445321736,value
2025-01-08,339.64876784881255,value
2025-01-09,339.67609116545145,value
2025-01-10,339.7034144820904,value
2025-01-11,339.7307377987293,value
2025-01-12,339.75806111536826,value
2025-01-13,339.7853844320072,value
2025-01-14,339.8127077486461,value
2025-01-15,339.8400310652851,value
2025-01-16,339.86735438192403,value
2025-01-17,339.89467769856293,value
2025-01-18,339.9220010152019,value
2025-01-19,339.94932433184084,value
2025-01-20,339.97664764847974,value
2025-01-21,340.0039709651187,value
2025-01-22,340.03129428175765,value
2025-01-23,340.05861759839655,value
2025-01-24,340.0859409150355,value
2025-01-25,340.1132642316744,value
2025-01-26,340.14058754831336,value
2025-01-27,340.1679108649523,value
2025-01-28,340.1952341815912,value
2025-01-29,340.2225574982302,value
2025-01-30,340.24988081486913,value
2025-01-31,340.27720413150803,value
2025-02-01,340.304527448147,value
2025-02-02,340.2834468476844,value
2025-02-03,340.2623662472218,value
2025-02-04,340.24128564675914,value
2025-02-05,340.22020504629654,value
2025-02-06,340.19912444583395,value
2025-02-07,340.17804384537135,value
2025-02-08,340.15696324490875,value
2025-02-09,340.13588264444616,value
2025-02-10,340.1148020439835,value
2025-02-11,340.0937214435209,value
