OBJECTID,BASE_YEAR,SIGUNGU_CD,SIGUNGU_NM,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance,sigungu,gas_station_count
1,2015,11010,종로구,34,2139,62.91176470588236,63.0,0.2836367870880284,62,63,1,62,63,2,0.08044982698961957,,0
2,2015,11020,중구,15,945,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
3,2015,11030,용산구,32,2016,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
4,2015,11040,성동구,25,1575,63.0,63.0,0.0,63,63,0,63,63,1,0.0,성동구,1
5,2015,11050,광진구,25,1575,63.0,63.0,0.0,63,63,0,63,63,1,0.0,광진구,3
6,2015,11060,동대문구,23,1449,63.0,63.0,0.0,63,63,0,63,63,1,0.0,동대문구,1
7,2015,11070,중랑구,28,1764,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
8,2015,11080,성북구,36,2265,62.91666666666666,63.0,0.3632415786283892,61,63,2,61,63,3,0.1319444444444443,성북구,3
9,2015,11090,강북구,30,1856,61.86666666666667,63.0,2.276449477195181,53,63,10,53,63,7,5.182222222222214,강북구,5
10,2015,11100,도봉구,33,2037,61.72727272727273,63.0,2.873839447158468,51,63,12,51,63,8,8.258953168044087,도봉구,2
11,2015,11110,노원구,54,3399,62.94444444444444,63.0,0.2290614236454257,62,63,1,62,63,2,0.05246913580246919,노원구,1
12,2015,11120,은평구,47,2923,62.19148936170212,63.0,1.75812155405222,55,63,8,55,63,7,3.090991398822992,은평구,4
13,2015,11130,서대문구,25,1575,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
14,2015,11140,마포구,36,2268,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
15,2015,11150,양천구,26,1638,63.0,63.0,0.0,63,63,0,63,63,1,0.0,,0
16,2015,11160,강서구,64,4029,62.953125,63.0,0.2113710821635732,62,63,1,62,63,2,0.044677734375,강서구,10
17,2015,11170,구로구,29,1827,63.0,63.0,0.0,63,63,0,63,63,1,0.0,구로구,10
